Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Escherichia coli	E. coli	strain: A1	562	ASM2249387v1	GCA_022493875.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5019076	5019076	2022-03-07	5197	PRJNA293615	SAMN04100022
Escherichia coli	E. coli	strain: A37	562	ASM2249389v1	GCA_022493895.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4894387	4894387	2022-03-07	5001	PRJNA293615	SAMN04100060
Escherichia coli	E. coli	strain: STLEFF_29	562	ASM2249407v1	GCA_022494075.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4902360	5270173	2022-03-07	5082	PRJNA603241	SAMN13925558
Escherichia coli	E. coli	strain: STLEFF_47	562	ASM2249423v1	GCA_022494235.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4979339	5327979	2022-03-07	5161	PRJNA603241	SAMN13925566
Escherichia coli	E. coli	strain: STLIN_13	562	ASM2249431v1	GCA_022494315.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4872342	5151305	2022-03-07	4939	PRJNA603241	SAMN13925570
Escherichia coli	E. coli	strain: KTa008	562	ASM2249458v1	GCA_022494585.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5171503	5171503	2022-03-07	4976	PRJNA800231	SAMN25236413
Escherichia coli	E. coli	strain: KMi025	562	ASM2249460v1	GCA_022494605.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4807201	5136687	2022-03-07	5030	PRJNA800231	SAMN25236410
Escherichia coli	E. coli	strain: KFu024	562	ASM2249462v1	GCA_022494625.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4831099	5016165	2022-03-07	4986	PRJNA800231	SAMN25236401
Escherichia coli	E. coli	strain: KFu023	562	ASM2249464v1	GCA_022494645.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4672002	4674103	2022-03-07	4484	PRJNA800231	SAMN25236400
Escherichia coli	E. coli	strain: KKa019	562	ASM2249466v1	GCA_022494665.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5130570	5130570	2022-03-07	4957	PRJNA800231	SAMN25236404
Escherichia coli	E. coli	strain: KOr019	562	ASM2249468v1	GCA_022494685.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5218913	5450486	2022-03-07	5250	PRJNA800231	SAMN25236411
Escherichia coli	E. coli	strain: KKo009	562	ASM2249470v1	GCA_022494705.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4846819	5182539	2022-03-07	5039	PRJNA800231	SAMN25236406
Escherichia coli	E. coli	strain: KFu022	562	ASM2249472v1	GCA_022494725.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4675244	4893247	2022-03-07	4814	PRJNA800231	SAMN25236399
Escherichia coli	E. coli	strain: KKo003	562	ASM2249474v1	GCA_022494745.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4956558	5168268	2022-03-07	5075	PRJNA800231	SAMN25236405
Escherichia coli	E. coli	strain: KMi006	562	ASM2249476v1	GCA_022494765.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4858831	5099688	2022-03-07	5007	PRJNA800231	SAMN25236407
Escherichia coli	E. coli	strain: KFu019	562	ASM2249478v1	GCA_022494785.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4868848	5021360	2022-03-07	4977	PRJNA800231	SAMN25236398
Escherichia coli	E. coli	strain: KOr021	562	ASM2249480v1	GCA_022494805.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5025350	5025350	2022-03-07	4756	PRJNA800231	SAMN25236412
Escherichia coli	E. coli	strain: KGu016	562	ASM2249482v1	GCA_022494825.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5126687	5369757	2022-03-07	5227	PRJNA800231	SAMN25236402
Escherichia coli	E. coli	strain: KFu014	562	ASM2249485v1	GCA_022494855.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5042053	5051051	2022-03-07	4819	PRJNA800231	SAMN25236397
Escherichia coli	E. coli	strain: JP538	562	ASM2251410v1	GCA_022514105.1	GenBank	Annotation submitted by Rakuno Gakuen University	Complete Genome	5052978	5182049	2022-01-18	5064	PRJDB12403	SAMD00408332
Escherichia coli	E. coli	strain: 30spn	562	ASM2253062v1	GCA_022530625.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	5570335	5928568	2022-03-09	5702	PRJNA806525	SAMN26088607
Escherichia coli	E. coli	strain: 32spn	562	ASM2253064v1	GCA_022530645.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	5396936	5749580	2022-03-09	5979	PRJNA806525	SAMN26088608
Escherichia coli	E. coli	strain: 23sn	562	ASM2253066v1	GCA_022530665.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	5507623	5865320	2022-03-09	5915	PRJNA806525	SAMN26088609
Escherichia coli	E. coli	strain: S-P-N-029.01	562	ASM2253105v1	GCA_022531055.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	88306	4735784	2022-03-09	5152	PRJNA806525	SAMN26095818
Escherichia coli	E. coli	strain: S-P-C-025.01	562	ASM2253117v1	GCA_022531175.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	84072	4670349	2022-03-09	4521	PRJNA806525	SAMN26095821
Escherichia coli	E. coli	strain: S-P-C-026.01	562	ASM2253129v1	GCA_022531295.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	64427	4712714	2022-03-09	4492	PRJNA806525	SAMN26095822
Escherichia coli	E. coli	strain: S-P-C-023.01	562	ASM2253142v1	GCA_022531425.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	99321	4660212	2022-03-09	4819	PRJNA806525	SAMN26095824
Escherichia coli	E. coli	strain: S-P-C-018.01	562	ASM2253148v1	GCA_022531485.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	69095	4607099	2022-03-09	4478	PRJNA806525	SAMN26095828
Escherichia coli	E. coli	strain: S-P-N-039.01	562	ASM2253160v1	GCA_022531605.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	76764	4634320	2022-03-09	4486	PRJNA806525	SAMN26095829
Escherichia coli	E. coli	strain: S-P-C-015.01	562	ASM2253172v1	GCA_022531725.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	59595	4751701	2022-03-09	4606	PRJNA806525	SAMN26095835
Escherichia coli	E. coli	strain: 07spn	562	ASM2255729v1	GCA_022557295.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5769182	5769182	2022-03-13	5980	PRJNA806525	SAMN25990926
Escherichia coli	E. coli	strain: Z503	562	ASM2255840v1	GCA_022558405.1	GenBank		Complete Genome	4481742	4666712	2022-03-14		PRJNA791555	SAMN24295374
Escherichia coli	E. coli	strain: EC31	562	ASM2255862v1	GCA_022558625.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4990666	5300748	2022-03-14	5151	PRJNA608094	SAMN15904669
Escherichia coli	E. coli	strain: EC29	562	ASM2255864v1	GCA_022558645.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4887629	5132546	2022-03-14	4957	PRJNA608094	SAMN15904668
Escherichia coli	E. coli	strain: EC27	562	ASM2255866v1	GCA_022558665.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4806953	5111018	2022-03-14	4965	PRJNA608094	SAMN15904667
Escherichia coli	E. coli	strain: EC26	562	ASM2255868v1	GCA_022558685.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4851822	5064677	2022-03-14	4915	PRJNA608094	SAMN15904666
Escherichia coli	E. coli	strain: EC24	562	ASM2255870v1	GCA_022558705.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4854815	5083767	2022-03-14	4930	PRJNA608094	SAMN15904665
Escherichia coli	E. coli	strain: EC22	562	ASM2255872v1	GCA_022558725.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4864259	5165969	2022-03-14	4990	PRJNA608094	SAMN15904664
Escherichia coli	E. coli	strain: EC21	562	ASM2255874v1	GCA_022558745.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4716858	4931863	2022-03-14	4775	PRJNA608094	SAMN15904663
Escherichia coli	E. coli	strain: EC20	562	ASM2255876v1	GCA_022558765.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4854815	5082228	2022-03-14	4928	PRJNA608094	SAMN15904662
Escherichia coli	E. coli	strain: EC19	562	ASM2255878v1	GCA_022558785.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4853491	5080883	2022-03-14	4930	PRJNA608094	SAMN15904661
Escherichia coli	E. coli	strain: EC14	562	ASM2255880v1	GCA_022558805.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4826519	5128965	2022-03-14	4977	PRJNA608094	SAMN15904658
Escherichia coli	E. coli	strain: EC18	562	ASM2255882v1	GCA_022558825.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4957014	5213351	2022-03-14	5101	PRJNA608094	SAMN15904660
Escherichia coli	E. coli	strain: EC15	562	ASM2255884v1	GCA_022558845.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4956833	5213746	2022-03-14	5100	PRJNA608094	SAMN15904659
Escherichia coli	E. coli	strain: EC12	562	ASM2255886v1	GCA_022558865.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4982993	5239863	2022-03-14	5133	PRJNA608094	SAMN15904656
Escherichia coli	E. coli	strain: EC13	562	ASM2255888v1	GCA_022558885.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4710280	5000179	2022-03-14	4883	PRJNA608094	SAMN15904657
Escherichia coli	E. coli	strain: EC11	562	ASM2255890v1	GCA_022558905.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4798689	5051990	2022-03-14	4890	PRJNA608094	SAMN15904655
Escherichia coli O157:H7 str. EC10		strain: EC10	996639	ASM2255892v1	GCA_022558925.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4786501	5021697	2022-03-14	4859	PRJNA608094	SAMN15904654
Escherichia coli	E. coli	strain: EC9	562	ASM2255894v1	GCA_022558945.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4880174	5029130	2022-03-14	4865	PRJNA608094	SAMN15904653
Escherichia coli	E. coli	strain: WCHEC035148	562	ASM2255898v1	GCA_022558985.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4695840	4943815	2022-03-14	4894	PRJNA418674	SAMN09229080
Escherichia coli	E. coli	strain: WCHEC025157	562	ASM2255900v1	GCA_022559005.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4826793	5070722	2022-03-14	4977	PRJNA418674	SAMN12623215
Escherichia coli	E. coli	strain: WCHEC025985	562	ASM2255902v1	GCA_022559025.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4800279	5230482	2022-03-14	5301	PRJNA418674	SAMN12158048
Escherichia coli	E. coli	strain: WCHEC040047	562	ASM2255904v1	GCA_022559045.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5107105	5244752	2022-03-14	5179	PRJNA418674	SAMN08932753
Escherichia coli	E. coli	strain: WCHEC115106	562	ASM2255906v1	GCA_022559065.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4803771	5180527	2022-03-14	5177	PRJNA418674	SAMN12623214
Escherichia coli	E. coli	strain: EC8	562	ASM2255924v1	GCA_022559245.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5045517	5342009	2022-03-14	5237	PRJNA608094	SAMN15904652
Escherichia coli	E. coli	strain: EC7	562	ASM2255926v1	GCA_022559265.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4860415	5169441	2022-03-14	5081	PRJNA608094	SAMN15904651
Escherichia coli	E. coli	strain: EC5	562	ASM2255928v1	GCA_022559285.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4801130	5111365	2022-03-14	4972	PRJNA608094	SAMN15904650
Escherichia coli	E. coli	strain: EC4	562	ASM2255930v1	GCA_022559305.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4854869	5050985	2022-03-14	4896	PRJNA608094	SAMN15904649
Escherichia coli	E. coli	strain: EC3	562	ASM2255932v1	GCA_022559325.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4681922	5026382	2022-03-14	4936	PRJNA608094	SAMN15904648
Escherichia coli	E. coli	strain: WCHEC005215	562	ASM2255968v1	GCA_022559685.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4831556	5120905	2022-03-14	4984	PRJNA418674	SAMN06209720
Escherichia coli	E. coli	strain: 81	562	ASM2255980v1	GCA_022559805.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4785944	4952757	2022-03-14	4867	PRJNA780373	SAMN23139064
Escherichia coli	E. coli	strain: LC-1302-2020	562	ASM2255987v1	GCA_022559875.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5016530	5368602	2022-03-14	5242	PRJNA801146	SAMN25301092
Escherichia coli	E. coli	strain: BR1220	562	ASM2256941v1	GCA_022569415.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5054078	5262058	2022-03-15	5172	PRJNA813614	SAMN26512579
Escherichia coli	E. coli	strain: 131	562	ASM2256979v1	GCA_022569795.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5219097	5219097	2022-03-15	5137	PRJNA773238	SAMN22456104
Escherichia coli	E. coli	strain: KMS2005	562	ASM2257691v1	GCA_022576915.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4735940	4735940	2022-03-15	4565	PRJNA747147	SAMN20257638
Escherichia coli	E. coli	strain: ER2683	562	ASM2259121v1	GCA_022591215.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4700654	4700654	2022-03-16	4559	PRJNA814272	SAMN26542471
Escherichia coli	E. coli	strain: EC-16-35	562	ASM2259147v1	GCA_022591475.1	GenBank		Complete Genome	4796017	5258982	2022-03-16		PRJNA814393	SAMN26549900
Escherichia coli	E. coli	strain: EC-14-2-9	562	ASM2260534v1	GCA_022605345.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4905889	5303628	2022-03-17	5169	PRJNA814402	SAMN26549971
Escherichia coli	E. coli	strain: EV36 mutant 1a	562	ASM2265424v1	GCA_022654245.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4734605	4734605	2022-03-21	4571	PRJNA747147	SAMN24737525
Escherichia coli	E. coli	strain: EV36 mutant 5a	562	ASM2265454v1	GCA_022654545.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4703583	4703583	2022-03-21	4532	PRJNA747147	SAMN24737526
Escherichia coli	E. coli	strain: Ec-RL2-1X	562	ASM2269586v1	GCA_022695865.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4705802	4964875	2022-03-25	4860	PRJNA684578	SAMN17168892
Escherichia coli	E. coli	strain: ST167	562	ASM2269946v1	GCA_022699465.1	GenBank		Complete Genome	4849672	5141416	2022-03-27		PRJNA816063	SAMN26656496
Escherichia coli	E. coli	strain: Ec-050-T5-MAC	562	ASM2275972v1	GCA_022759725.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4848847	5333616	2022-03-30	5248	PRJNA769291	SAMN22108722
Escherichia coli	E. coli	strain: Ec-050-T5-ESBL	562	ASM2275974v1	GCA_022759745.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4848855	5330360	2022-03-30	5242	PRJNA769291	SAMN22108723
Escherichia coli	E. coli	strain: Ec-050-T20-MAC	562	ASM2275976v1	GCA_022759765.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4848861	5333341	2022-03-30	5246	PRJNA769291	SAMN22108724
Escherichia coli	E. coli	strain: Ec-050-T20-ESBL	562	ASM2275978v1	GCA_022759785.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4848881	5331662	2022-03-30	5244	PRJNA769291	SAMN22108725
Escherichia coli	E. coli	strain: Ec-050-T0	562	ASM2275980v1	GCA_022759805.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4848845	5332076	2022-03-30	5243	PRJNA769291	SAMN22108721
Escherichia coli	E. coli	strain: Ec-042-T5-MAC	562	ASM2275982v1	GCA_022759825.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4667313	4808531	2022-03-30	4699	PRJNA769291	SAMN22108717
Escherichia coli	E. coli	strain: Ec-042-T5-ESBL	562	ASM2275984v1	GCA_022759845.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4667304	4808193	2022-03-30	4694	PRJNA769291	SAMN22108718
Escherichia coli	E. coli	strain: Ec-042-T20-MAC	562	ASM2275986v1	GCA_022759865.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4668112	4809001	2022-03-30	4698	PRJNA769291	SAMN22108719
Escherichia coli	E. coli	strain: Ec-042-T20-ESBL	562	ASM2275988v1	GCA_022759885.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4667313	4808210	2022-03-30	4693	PRJNA769291	SAMN22108720
Escherichia coli	E. coli	strain: Ec-042-T0	562	ASM2275990v1	GCA_022759905.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4667306	4808195	2022-03-30	4695	PRJNA769291	SAMN22108716
Escherichia coli	E. coli	strain: W224N	562	ASM2276021v1	GCA_022760215.1	GenBank		Complete Genome	5162599	5353111	2022-03-31		PRJNA818362	SAMN26856952
Escherichia coli	E. coli	strain: 18070201	562	ASM2276025v1	GCA_022760255.1	GenBank		Complete Genome	5020403	5320027	2022-03-31		PRJNA791532	SAMN24293484
Escherichia coli	E. coli	strain: JW5503	562	ASM2281154v1	GCA_022811545.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4630639	4630639	2022-04-04	4498	PRJNA587532	SAMN13193118
Escherichia coli	E. coli	strain: EC-15-50	562	ASM2281162v1	GCA_022811625.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4844868	4844868	2022-04-04	4699	PRJNA820620	SAMN27019199
Escherichia coli	E. coli	strain: Rb-3	562	ASM2284621v1	GCA_022846215.1	GenBank	Annotation submitted by Department of Microbiology, Meiji Pharmaceutical University	Complete Genome	5043924	5110844	2022-03-25	4803	PRJDB12453	SAMD00411241
Escherichia coli	E. coli	strain: Rb-23	562	ASM2284623v1	GCA_022846235.1	GenBank	Annotation submitted by Department of Microbiology, Meiji Pharmaceutical University	Complete Genome	4809008	4990006	2022-03-25	4729	PRJDB12453	SAMD00411242
Escherichia coli	E. coli	strain: Rb-50	562	ASM2284625v1	GCA_022846255.1	GenBank	Annotation submitted by Department of Microbiology, Meiji Pharmaceutical University	Complete Genome	4939895	4939895	2022-03-25	4622	PRJDB12453	SAMD00411243
Escherichia coli	E. coli	strain: TUM13867	562	ASM2284657v1	GCA_022846575.1	GenBank	Annotation submitted by Department of Microbiology and Infectious Diseases, Toho University School of Medicine	Complete Genome	4907358	5196748	2022-03-15	4912	PRJDB13001	SAMD00441897
Escherichia coli O157:H7		strain: PartA-EcoliO157H7-RM8376	83334	ASM2286994v1	GCA_022869945.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5564632	5656692	2022-04-11	5593	PRJNA605254	SAMN14078792
Escherichia coli O104:H4		strain: PartB-EcoliO104H4-RM8376	1038927	ASM2286998v1	GCA_022869985.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5302905	5378459	2022-04-11	5270	PRJNA605254	SAMN14078793
Escherichia coli	E. coli	strain: EC6868	562	ASM2291883v1	GCA_022918835.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5252652	5405505	2022-04-12	5308	PRJNA822684	SAMN27258442
Escherichia coli	E. coli	isolate: EC5654	562	ASM2291903v1	GCA_022919035.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5205884	5334193	2022-04-12	5120	PRJNA822689	SAMN27258881
Escherichia coli	E. coli	isolate: w264	562	ASM2291905v1	GCA_022919055.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4699928	4736388	2022-04-12	4633	PRJNA822691	SAMN27258894
Escherichia coli	E. coli	strain: Iso00270	562	ASM2296477v1	GCA_022964775.1	GenBank		Complete Genome	4656431	4925131	2022-04-13		PRJNA822931	SAMN17766603
Escherichia coli	E. coli	strain: Iso00225	562	ASM2296481v1	GCA_022964815.1	GenBank		Complete Genome	5026490	5270653	2022-04-13		PRJNA822931	SAMN17766590
Escherichia coli	E. coli	strain: Iso00041	562	ASM2296489v1	GCA_022964895.1	GenBank		Complete Genome	4964248	5147806	2022-04-13		PRJNA822931	SAMN17766542
Escherichia coli	E. coli	strain: HH194M	562	ASM2296955v2	GCA_022969555.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4676608	5134168	2022-08-31	5008	PRJNA815475	SAMN26630246
Escherichia coli	E. coli	strain: EC9682	562	ASM2298297v1	GCA_022982975.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5169503	5412376	2022-04-14	5339	PRJNA824219	SAMN27395225
Escherichia coli	E. coli	strain: JH51	562	ASM2302288v1	GCA_023022885.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4730648	5323682	2022-04-18	5253	PRJNA822011	SAMN27413056
Escherichia coli	E. coli	strain: TZ118	562	ASM2302290v1	GCA_023022905.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4664718	4761645	2022-04-18	4650	PRJNA822011	SAMN27413058
Escherichia coli	E. coli	strain: LS45	562	ASM2302292v1	GCA_023022925.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5120890	5487586	2022-04-18	5401	PRJNA822011	SAMN27413057
Escherichia coli	E. coli	strain: 779	562	ASM2302442v1	GCA_023024425.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5091593	5667876	2022-04-18	5642	PRJNA776738	SAMN22826253
Escherichia coli	E. coli	strain: EC802A1	562	ASM2309863v2	GCA_023098635.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5051486	5430234	2022-08-04	5401	PRJNA827955	SAMN27625735
Escherichia coli	E. coli	strain: EC204A1	562	ASM2309930v2	GCA_023099305.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5039467	5755998	2022-07-21	5744	PRJNA827955	SAMN27625699
Escherichia coli	E. coli	strain: EC602A1	562	ASM2309956v2	GCA_023099565.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5227406	5815015	2022-07-21	5933	PRJNA827955	SAMN27625687
Escherichia coli	E. coli	strain: EC626A1	562	ASM2309970v2	GCA_023099705.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4822243	5074404	2022-08-04	4977	PRJNA827955	SAMN27625680
Escherichia coli	E. coli	strain: EC727A3	562	ASM2309986v2	GCA_023099865.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5177315	5705750	2022-07-21	5674	PRJNA827955	SAMN27625669
Escherichia coli	E. coli	strain: EC737A1	562	ASM2310004v2	GCA_023100045.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4722602	4893573	2022-07-21	4772	PRJNA827955	SAMN27625662
Escherichia coli	E. coli	strain: EC6563	562	ASM2310076v1	GCA_023100765.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4850951	5251855	2022-04-25	5129	PRJNA827647	SAMN27615948
Escherichia coli	E. coli	strain: M719	562	ASM2316760v1	GCA_023167605.1	GenBank	Annotation submitted by Osaka University	Complete Genome	4856054	5202242	2022-04-02	5257	PRJDB5126	SAMD00231967
Escherichia coli	E. coli	strain: KY 1497	562	ASM2316958v1	GCA_023169585.1	GenBank	Annotation submitted by Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	Complete Genome	5160887	5426707	2022-03-18	5147	PRJDB8512	SAMD00178070
Escherichia coli	E. coli	strain: TUM20902	562	ASM2317000v1	GCA_023170005.1	GenBank	Annotation submitted by Department of Microbiology and Infectious Diseases, Toho University School of Medicine	Complete Genome	4906821	5168239	2022-03-15	4875	PRJDB13001	SAMD00441898
Escherichia coli	E. coli	strain: STEFF_1	562	ASM2320541v1	GCA_023205415.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4988995	5297071	2022-05-02	5107	PRJNA603241	SAMN13925525
Escherichia coli	E. coli	strain: PBP5	562	ASM2320659v1	GCA_023206595.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5050942	5059629	2022-05-02	4797	PRJNA698646	SAMN17732895
Escherichia coli	E. coli	strain: PBP8	562	ASM2320661v1	GCA_023206615.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5051874	5060561	2022-05-02	4799	PRJNA698646	SAMN17732897
Escherichia coli	E. coli	strain: ESM1.4	562	ASM2320663v1	GCA_023206635.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	5050942	5059629	2022-05-02	4797	PRJNA698646	SAMN17732898
